record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Yjzq00060,Yjzq,一见钟琴,无名琴 · Yjzq00060,无名琴,True,273,5,L=125cm; W=18cm; T=3.8cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00060.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00060
Yjzq00061,Yjzq,一见钟琴,瀑飞,瀑飞,True,258,5,L=1212cm; W=18.7cm; T=4.8cm,3,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00061.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00061
Yjzq00063,Yjzq,一见钟琴,无名琴 · Yjzq00063,无名琴,True,136,4,L=123.9cm; W=20.1cm; T=6.3cm,3,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00063.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00063
Yjzq00065,Yjzq,一见钟琴,无名琴 · Yjzq00065,无名琴,True,251,8,L=122.2cm; W=17.8cm; T=5.9cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00065.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00065
Yjzq00066,Yjzq,一见钟琴,弯和,弯和,True,372,5,L=126.3cm; W=18cm; T=4.9cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00066.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00066
Yjzq00068,Yjzq,一见钟琴,无名琴 · Yjzq00068,无名琴,True,170,5,L=119cm; W=172cm; T=5.7cm,3,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00068.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00068
Yjzq00069,Yjzq,一见钟琴,无名琴 · Yjzq00069,无名琴,True,214,7,L=1213cm; W=19cm; T=4.5cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00069.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00069
Yjzq00070,Yjzq,一见钟琴,松风,松风,True,225,5,L=1505cm; W=19.5cm; T=5.7cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00070.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00070
Yjzq00074,Yjzq,一见钟琴,无名琴 · Yjzq00074,无名琴,True,460,5,L=124.2cm; W=18.6cm; T=5.3cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00074.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00074
Yjzq00076,Yjzq,一见钟琴,无名琴 · Yjzq00076,无名琴,True,294,5,L=118.5cm; W=19cm; T=5.4cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00076.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00076
Yjzq00078,Yjzq,一见钟琴,无名琴 · Yjzq00078,无名琴,True,421,7,L=123.4cm; W=20.2cm; T=5.2cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00078.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00078
Yjzq00079,Yjzq,一见钟琴,无射,无射,True,418,5,L=102.3cm; W=17cm; T=1.7cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00079.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00079
Yjzq00081,Yjzq,一见钟琴,无名琴 · Yjzq00081,无名琴,True,137,8,L=95.5cm; W=16.2cm; T=1.7cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00081.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00081
Yjzq00082,Yjzq,一见钟琴,无名琴 · Yjzq00082,无名琴,True,111,6,L=119.4cm; W=20.4cm; T=5cm,5,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00082.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00082
Yjzq00083,Yjzq,一见钟琴,响鸣,响鸣,True,266,10,L=1228cm; W=18.5cm; T=5.7cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00083.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00083
Yjzq00085,Yjzq,一见钟琴,无名琴 · Yjzq00085,无名琴,True,119,5,L=119.5cm; W=15.4cm; T=5.5cm,4,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00085.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00085
